gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Herc6	1.623903878834667e-156	0.8841715012997005	0.752	0.247	3.4188048361106243e-152	1.476282486271286e-131	0.8647616208066429	0.767	0.29	3.1080175183469383e-127	1.476282486271286e-131	3.247807757669305e-156	BEC
Jak2	9.579231270324176e-156	0.8824334067766184	0.774	0.328	2.0167155593413488e-151	7.60275432073241e-127	0.8242392497496343	0.782	0.404	1.6006078671437942e-122	7.60275432073241e-127	1.9158462540647863e-155	BEC
Ifi208	1.2252812921569195e-155	0.8976183923471799	0.705	0.124	2.5795847043779626e-151	2.573294979391141e-143	0.9030681642647326	0.731	0.143	5.417557920112169e-139	2.573294979391141e-143	2.450562584313909e-155	BEC
Ifi47	1.9094595631478077e-155	0.8282685260785002	0.839	0.45	4.0199852182950796e-151	1.1727188244618377e-115	0.7163383398296631	0.842	0.522	2.468924941139507e-111	1.1727188244618377e-115	3.8189191262956575e-155	BEC
Tm4sf1	3.520557608911414e-155	0.45566151660993426	0.976	0.851	7.4118299340412e-151	1.1567923015432118e-108	0.34098803486319307	0.973	0.884	2.435394832438924e-104	1.1567923015432118e-108	7.041115217822941e-155	BEC
Wars	3.6164924533597587e-155	0.9037767136326719	0.8	0.384	7.6138015620583e-151	2.5641915246547657e-149	0.9313005451656309	0.843	0.456	5.398392416855678e-145	2.5641915246547657e-149	7.232984906719698e-155	BEC
Tgtp1	1.1835521791615934e-153	0.8389432865484023	0.737	0.214	2.4917324027889026e-149	1.1867129431338216e-136	0.8509638810231794	0.726	0.18	2.4983867591796346e-132	1.1867129431338216e-136	2.3671043583231567e-153	BEC
Ch25h	2.895936572660132e-153	1.0330359322583185	0.736	0.198	6.0968152664213765e-149	2.704063445502028e-110	0.9004677968584036	0.738	0.3	5.692864771815419e-106	2.704063445502028e-110	5.791873145320418e-153	BEC
Phf11d	4.993817997041006e-153	0.8204251720969575	0.839	0.472	1.051348502917043e-148	9.586789189658105e-124	0.7528831759153957	0.837	0.499	2.018306728098721e-119	9.586789189658105e-124	9.98763599408181e-153	BEC
Tapbp	1.382089007925349e-152	0.6768800504389598	0.882	0.602	2.9097119883852375e-148	1.6429440698198084e-152	0.6747201040516186	0.908	0.654	3.4588901501916425e-148	1.6429440698198084e-152	2.7641780158507587e-152	BEC
Oasl2	3.233535472216912e-152	0.8625523136897958	0.779	0.343	6.807562229658265e-148	2.0283192246648293e-151	0.9198301980570385	0.816	0.362	4.270220463686865e-147	2.0283192246648293e-151	6.46707094443382e-152	BEC
Slfn2	5.490424262448693e-152	0.9669285848503435	0.784	0.273	1.1558990199733232e-147	2.452481838666893e-146	1.011458404101658	0.808	0.313	5.163210014945409e-142	2.452481838666893e-146	1.0980848524897611e-151	BEC
Tap1	6.135145437492975e-147	0.8169845219617933	0.815	0.447	1.2916321689553961e-142	3.0232700812297833e-151	0.8733843802958077	0.844	0.456	6.364890502013063e-147	6.135145437492975e-147	6.0465401624596954e-151	BEC
Parp14	1.4790019335027094e-137	0.7729056696000985	0.822	0.47	3.113742770603254e-133	1.0495908895607681e-150	0.8670322285102734	0.859	0.507	2.2097036997922852e-146	1.4790019335027094e-137	2.099181779121574e-150	BEC
Dtx3l	3.603272575528685e-134	0.767389052883487	0.765	0.352	7.585969753260541e-130	2.001813948119217e-150	0.9137019052548662	0.815	0.358	4.214418904975388e-146	3.603272575528685e-134	4.003627896238509e-150	BEC
Slfn5	5.008239183890525e-125	0.6320401878667377	0.893	0.609	1.0543845953844721e-120	1.4288263960159707e-149	0.7404243241882994	0.915	0.625	3.008108211532423e-145	5.008239183890525e-125	2.857652792031927e-149	BEC
Irf8	2.1192663716270973e-149	0.8846686521495899	0.747	0.261	4.4616914921865284e-145	7.26140567627756e-111	0.7716812289821179	0.749	0.356	1.5287437370267148e-106	7.26140567627756e-111	4.238532743254184e-149	BEC
Stat1	3.454493287209622e-147	0.7875705269990639	0.828	0.46	7.272744717562417e-143	4.910861340572877e-139	0.8157832489159448	0.86	0.513	1.0338836380308077e-134	4.910861340572877e-139	6.908986574419103e-147	BEC
Selenow	4.067865801836426e-147	0.6295254726730204	0.917	0.677	8.564077872606228e-143	3.571990284601382e-141	0.5988129480325697	0.93	0.718	7.520111146171289e-137	3.571990284601382e-141	8.135731603672803e-147	BEC
Samd9l	2.182333675282813e-145	0.8258617283421241	0.808	0.442	4.594467086572906e-141	4.271003180631435e-147	0.8667299435392386	0.844	0.476	8.99174299618336e-143	2.182333675282813e-145	8.542006361263127e-147	BEC
Xaf1	1.4831627002507863e-139	0.7725637417672357	0.823	0.466	3.12250243283798e-135	4.757355255111185e-145	0.8159177613765607	0.855	0.489	1.0015660018585578e-140	1.4831627002507863e-139	9.514710510222425e-145	BEC
Ppa1	3.2219036644431725e-142	0.8433777117607092	0.738	0.276	6.78307378475221e-138	3.1599244300258287e-103	0.698188848707672	0.722	0.329	6.652588902533377e-99	3.1599244300258287e-103	6.443807328886536e-142	BEC
Ifi209	7.06973884662467e-142	0.7917783499146498	0.602	0.032	1.4883921193798918e-137	3.290631915671471e-109	0.7463054045258938	0.599	0.05	6.927767372063148e-105	3.290631915671471e-109	1.4139477693249704e-141	BEC
Serpina3f	1.2488400224165042e-141	0.961390648230701	0.698	0.189	2.629182899193466e-137	2.6799550527160352e-118	0.9014104267437046	0.753	0.265	5.642109372483069e-114	2.6799550527160352e-118	2.4976800448329606e-141	BEC
Sh2d5	4.54135978278912e-141	0.7758684204742872	0.593	0.02	9.560924750705935e-137	2.2850064201574585e-115	0.7436823519008465	0.588	0.01	4.8106240163574976e-111	2.2850064201574585e-115	9.082719565578459e-141	BEC
Slco3a1	2.583368450563583e-138	0.8824952347302526	0.762	0.339	5.438765598971512e-134	5.5653583413652745e-105	0.7624919021312353	0.775	0.445	1.1716748916076313e-100	5.5653583413652745e-105	5.1667369011270944e-138	BEC
Ifi205	4.917469800514127e-138	0.790770034626181	0.575	0.009	1.0352749171022392e-133	2.8109900550983685e-129	0.8417433918582609	0.633	0.014	5.917977362998595e-125	2.8109900550983685e-129	9.834939601028491e-138	BEC
Lap3	5.471272928049186e-138	0.8824525546976032	0.73	0.302	1.1518670895421951e-133	7.024154328418249e-94	0.6904337079910806	0.721	0.383	1.478795210761894e-89	7.024154328418249e-94	1.0942545856098377e-137	BEC
Psmb8	1.1978189823124212e-137	0.5973502121298873	0.88	0.668	2.5217683034623405e-133	6.0424755090255775e-137	0.6250355553861184	0.899	0.656	1.2721223689151549e-132	6.0424755090255775e-137	2.395637964624883e-137	BEC
Fkbp1a	1.4108174982760497e-137	0.4679562075911732	0.934	0.765	2.9701940791205674e-133	2.4432953344170887e-91	0.37415381639346657	0.932	0.787	5.143869667548297e-87	2.4432953344170887e-91	2.8216349965521017e-137	BEC
Tgtp2	1.7683904629694637e-136	0.786853992793632	0.734	0.261	3.7229924416896116e-132	1.048384207898522e-130	0.8318630806502992	0.749	0.242	2.2071632728887583e-126	1.048384207898522e-130	3.536780925938925e-136	BEC
Daxx	3.533611089203979e-136	0.8005010416746391	0.741	0.293	7.439311426101136e-132	1.430734552044504e-124	0.8209382516791314	0.755	0.338	3.012125452419294e-120	1.430734552044504e-124	7.067222178407841e-136	BEC
Ubd	9.055323855376466e-136	0.9284311905149653	0.916	0.465	1.9064173312724073e-131	9.432324802856598e-112	0.7783494839040181	0.974	0.642	1.9857873407453995e-107	9.432324802856598e-112	1.8110647710752684e-135	BEC
