gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
Cav1	4.8874998572278303e-54	-0.48844432724169806	0.643	0.756	1.0289653449421751e-49	2.9080996127120567e-25	-0.3247391409045348	0.711	0.754	6.122422114642693e-21	2.9080996127120567e-25	9.774999714455643e-54	BEC
Tgfbr3	7.865234302828154e-54	-0.32784338706110094	0.171	0.433	1.6558677777744113e-49	8.635431067744242e-39	-0.26701092130679327	0.24	0.507	1.8180173026921952e-34	8.635431067744242e-39	1.5730468605656239e-53	BEC
Hcfc1r1	3.489944887745147e-53	-0.33098296880999145	0.221	0.473	7.347380972169858e-49	3.572965004116894e-49	-0.32480602772996403	0.256	0.544	7.522163223167298e-45	3.572965004116894e-49	6.979889775490276e-53	BEC
Bcam	8.094342361482926e-53	-0.4708427684786571	0.31	0.545	1.7041018973630005e-48	6.1633234120176485e-37	-0.3499145666930655	0.313	0.538	1.2975644779320756e-32	6.1633234120176485e-37	1.6188684722965917e-52	BEC
Map1lc3a	8.72304604832699e-53	-0.3755331510664124	0.186	0.437	1.836462884554281e-48	6.986216234209051e-47	-0.31211287800653154	0.224	0.495	1.4708081037880315e-42	6.986216234209051e-47	1.7446092096654047e-52	BEC
Mgll	1.0694194616300478e-52	-0.5878400035665865	0.226	0.483	2.2514487925697398e-48	3.0043278715679317e-16	-0.2674417211777856	0.26	0.429	6.325011468011967e-12	3.0043278715679317e-16	2.1388389232600935e-52	BEC
Sptssa	1.076363551714136e-52	-0.3574037904963965	0.215	0.468	2.2660681854237704e-48	1.2179943805277373e-48	-0.29610344266872174	0.219	0.497	2.5642435693250453e-44	1.2179943805277373e-48	2.1527271034282893e-52	BEC
Slco2b1	3.1202918159445152e-52	-0.39289431918945567	0.192	0.444	6.569150360107988e-48	2.887058024097183e-44	-0.3316728402613942	0.207	0.462	6.078123258131799e-40	2.887058024097183e-44	6.2405836318890786e-52	BEC
Slc6a6	6.012438765769796e-52	-0.5529588254258375	0.238	0.504	1.265798733357515e-47	5.434658440045832e-35	-0.41959893878516574	0.265	0.507	1.144158641382849e-30	5.434658440045832e-35	1.2024877531539671e-51	BEC
Cuedc2	1.2894307807197405e-51	-0.35200056621864556	0.219	0.466	2.71463862264927e-47	1.6500998758115674e-50	-0.2981697182692181	0.227	0.503	3.473955268546093e-46	1.6500998758115674e-50	2.5788615614394802e-51	BEC
