gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Ndufs6	5.067061344721878e-36	-0.27418720890840204	0.41	0.592	1.0567356434417476e-31	8.636001550964675e-40	-0.29561273685310374	0.398	0.608	1.8010381234536831e-35	1.1188451597295293e-40	-0.25543878784648927	0.379	0.589	2.3333515806159334e-36	5.067061344721878e-36	3.3565354791885693e-40	PvC
Zbtb20	2.9668167113402636e-108	-0.8013375962321351	0.643	0.982	6.187296251500119e-104	3.871446994773589e-63	-0.7934301387550762	0.69	0.989	8.07390270760032e-59	5.59715007929825e-36	-0.6827701957887697	0.584	0.961	1.1672856490376501e-31	5.59715007929825e-36	8.90045013402067e-108	CD34+ SC
Il34	6.772559210445198e-36	-0.42425625095698605	0.029	0.313	1.412417223338346e-31	4.1695814264041775e-41	-0.49357214972537045	0.038	0.455	8.695662064765913e-37	2.0313658491723106e-67	-0.6353044188440797	0.033	0.511	4.236413478448854e-63	6.772559210445198e-36	6.094097547516842e-67	Cxcl9+ TRC
Pcdh7	1.2962368065319787e-43	-0.3296822454203763	0.082	0.263	2.7033018600224416e-39	1.8240045465945197e-56	-0.38189703607604575	0.081	0.3	3.8039614819228705e-52	7.111595974448888e-36	-0.2646836168886166	0.119	0.272	1.4831233404713156e-31	7.111595974448888e-36	5.472013639783524e-56	PvC
Zfp367	2.322809832517521e-59	-0.4093877081382329	0.025	0.388	4.84421990571529e-55	9.765020575563841e-43	-0.2894893536518756	0.019	0.341	2.036495041033839e-38	7.43551097203697e-36	-0.3387179589098829	0.021	0.298	1.5506758132183102e-31	7.43551097203697e-36	6.968429497552577e-59	Cxcl9+ TRC
Olfr558	2.159640232429198e-36	-0.30742520253369277	0.204	0.411	4.503929704731093e-32	9.215410318190672e-36	-0.2772079335240056	0.18	0.396	1.9218738218586646e-31	2.1892325634282956e-63	-0.297129731911018	0.14	0.387	4.565644511029711e-59	9.215410318190672e-36	6.567697690284889e-63	PvC
Slc9a3r2	5.483638126745018e-45	-0.3095957751662048	0.035	0.408	1.1436127313326735e-40	1.1085694652485899e-35	-0.3874149526583676	0.044	0.425	2.311921619775934e-31	5.564790576548511e-44	-0.4316704669354805	0.04	0.441	1.160537074739192e-39	1.1085694652485899e-35	1.6450914380235034e-44	CD34+ SC
Atp1a2	4.7012140094998243e-57	-0.5149471222714681	0.122	0.61	9.804381816811884e-53	3.607266906836302e-58	-0.6365071088878496	0.063	0.631	7.522955134207107e-54	1.209483704763743e-35	-0.5929796621241294	0.138	0.614	2.522378266284786e-31	1.209483704763743e-35	1.0821800720508967e-57	CD34+ SC
Spag9	1.25161845270276e-35	-0.2638725154996987	0.609	0.71	2.610250283111606e-31	8.479217897023686e-60	-0.35518344738396324	0.566	0.747	1.7683408924242898e-55	7.02317586395899e-61	-0.3167507737244415	0.518	0.716	1.4646833264286473e-56	1.25161845270276e-35	2.1069527591876757e-60	PvC
Arhgap20	1.1105268841887807e-67	-0.6092863672360974	0.14	0.684	2.3160038169757022e-63	4.838006731330769e-40	-0.5449446372515544	0.156	0.637	1.0089663038190318e-35	1.641356916774511e-35	-0.48590095621210905	0.09	0.512	3.423049849933243e-31	1.641356916774511e-35	3.331580652566314e-67	CD34+ SC
Oip5os1	1.7043336624846124e-35	-0.27366862333252245	0.473	0.616	3.554387853111659e-31	1.85431110682468e-42	-0.30581637005374734	0.434	0.624	3.86716581328287e-38	2.086000511690179e-46	-0.2765684305137713	0.383	0.601	4.350354067129869e-42	1.7043336624846124e-35	6.258001535070494e-46	PvC
Pmp22	6.951001679627777e-60	-0.5743308982353384	0.548	0.929	1.449631400286373e-55	1.027308658315942e-56	-0.7392986039274643	0.536	0.972	2.1424522069178974e-52	2.0843312088134394e-35	-0.6432316193115235	0.508	0.929	4.346872735980428e-31	2.0843312088134394e-35	2.085300503888317e-59	CD34+ SC
Mcam	9.292938989325075e-64	-0.43821021254130144	0.52	0.736	1.9380424262237444e-59	8.885975202563486e-76	-0.4846133545728155	0.445	0.73	1.8531701284946148e-71	2.367256179626532e-35	-0.25947912703722975	0.577	0.73	4.936912762611132e-31	2.367256179626532e-35	2.6657925607690036e-75	PvC
Slc48a1	2.8771558030287444e-35	-0.2805983990984413	0.08	0.421	6.000308427216446e-31	2.726287594083126e-37	-0.3721042405818315	0.046	0.447	5.685672777460359e-33	3.622508500738123e-41	-0.3624475395869443	0.062	0.504	7.554741478289356e-37	2.8771558030287444e-35	1.086752550221432e-40	CD34+ SC
Meg3	3.532512706946638e-35	-0.39127693078042125	0.598	0.699	7.367055250337213e-31	8.68021539873822e-43	-0.41193805385590243	0.594	0.733	1.8102589214068558e-38	6.636020636176114e-54	-0.4022173755006485	0.547	0.711	1.3839421036745286e-49	3.532512706946638e-35	1.9908061908528353e-53	PvC
Cnpy2	8.290559910350508e-73	-0.5919736372642566	0.456	0.888	1.7289962693035983e-68	1.372656594369041e-35	-0.5044932001568343	0.53	0.855	2.862675327556635e-31	4.396995154038549e-35	-0.611211982484239	0.296	0.803	9.169933393747394e-31	4.396995154038549e-35	2.4871679731051327e-72	CD34+ SC
