gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	lec_type
mt-Nd2	1.9655854364492654e-14	0.8476481374013103	0.976	0.636	4.099228427714943e-10	4.297040613767943e-11	0.5151859016123996	0.877	0.676	8.961478200013045e-7	7.248439298330946e-5	0.25071288436736117	0.882	0.797	1	7.248439298330946e-5	5.896756309347688e-14	unassigned-LEC
mt-Co2	7.732912154051129e-5	0.315439381380759	1	0.939	1	1.3872910772171026e-6	0.3377623991783931	1	0.898	0.028931955415362674	5.232405173683612e-8	0.3176503231842349	1	0.907	0.0010912180989717172	7.732912154051129e-5	1.56972146997089e-7	Marco_LEC
mt-Nd4l	2.0278579073940507e-6	0.8276135624735819	0.634	0.338	0.042290976658702926	3.515304272524235e-5	0.5451229494639134	0.531	0.333	0.7331167060349292	7.893328062613886e-5	0.5260918499994084	0.549	0.323	1	7.893328062613886e-5	6.083561385567406e-6	unassigned-LEC
Lars2	3.930706459321253e-5	0.683697618141614	0.816	0.576	0.8197488320914472	5.062917343138284e-7	0.7822868064950897	0.714	0.388	0.01055871411911489	1.2441330656946586e-4	0.5549264946044763	0.699	0.481	1	1.2441330656946586e-4	1.5188744339476544e-6	Marco_LEC
Gm42418	1.3338235496612272e-4	0.18897616371520742	1	1	1	1.6336688774029622e-6	0.1743344852912383	1	1	0.03407016443823878	3.809354251451505e-10	0.17315056346633018	1	1	7.944408291402114e-6	1.3338235496612272e-4	1.142806275000118e-9	Marco_LEC
Zfp36l1	7.088433400281318e-7	0.8258737767030836	0.796	0.485	0.01478292785628669	1.4916878506789405e-4	0.49460457668344393	0.857	0.551	1	3.958332473260325e-6	0.4809321328104239	0.786	0.63	0.08255102372984408	1.4916878506789405e-4	2.126528512708109e-6	Marco_LEC
Cd59a	4.3062577500309557e-14	0.63304454778741	0.312	0.022	8.980700537689558e-10	7.797311824775052e-7	0.2838917678231392	0.214	0.021	0.016261293810568372	1.7495973691438162e-4	0.19823495997397336	0.167	0.025	1	1.7495973691438162e-4	1.2918773250092305e-13	PvC
Spock2	2.2769833491367498e-7	0.1959465758285926	0.188	0.017	0.004748648774624692	4.508683221757729e-9	0.29450990203698935	0.214	0.015	9.402858858975743e-5	1.9339089178062048e-4	0.22224298573566303	0.111	0.012	1	1.9339089178062048e-4	1.352604960428853e-8	PvC
Mafb	2.2053631922607395e-4	0.8106112477744511	0.592	0.182	1	1.4839683990122641e-6	0.8477304320825034	0.545	0.143	0.030948160961400767	1.174009302084759e-5	0.75943095021438	0.544	0.222	0.2448396399497765	2.2053631922607395e-4	4.4518985905534325e-6	Marco_LEC
mt-Atp6	2.4709671741767624e-4	0.5261997684477522	1	0.93	1	2.300746891345928e-6	0.43784530061085913	0.95	0.899	0.04798207641901933	5.497295902113049e-11	0.33747884105283754	0.918	0.923	1.1464610603856765e-6	2.4709671741767624e-4	1.649188770543257e-10	BEC
mt-Cytb	2.822246202584315e-4	0.3095541259529222	1	0.909	1	2.8276015604466014e-7	0.3780187293103876	1	0.898	0.005896963054311387	5.264443000971648e-7	0.3360853910262862	0.99	0.926	0.010978995878526372	2.822246202584315e-4	8.482802282740849e-7	Marco_LEC
