gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	subtype
Lipg	0	1.253978950102597	0.741	0.098	0	0	1.2348163459257595	0.754	0.109	0	0	1.1948390924518884	0.73	0.089	0	0	0	BEC
Batf2	0	1.0007901872417264	0.713	0.041	0	0	1.0546798780647952	0.729	0.046	0	0	1.04692179078733	0.743	0.03	0	0	0	BEC
Ms4a6d	0	1.284555631001712	0.671	0.042	0	0	1.3147038282502024	0.678	0.035	0	0	1.2132740564529119	0.686	0.033	0	0	0	BEC
Jak2	0	0.8647961033466911	0.774	0.293	0	0	0.8311948942507168	0.763	0.317	0	0	0.8442032250383118	0.782	0.278	0	0	0	BEC
Cd274	0	1.3368926426521046	0.863	0.197	0	0	1.307155778369898	0.86	0.246	0	0	1.3605425163488452	0.891	0.194	0	0	0	BEC
Ch25h	0	1.138961558016246	0.736	0.089	0	0	1.1362351801097517	0.734	0.11	0	0	1.0685354977594652	0.738	0.116	0	0	0	BEC
Ifit2	0	1.2087152559566958	0.824	0.203	0	0	1.271803386666587	0.818	0.188	0	0	1.263392514940653	0.842	0.155	0	0	0	BEC
Ifit3	0	1.3036346136729264	0.905	0.299	0	0	1.4482089268089213	0.92	0.263	0	0	1.3060896093165946	0.893	0.24	0	0	0	BEC
Ifit3b	0	1.0767585553319954	0.785	0.157	0	0	1.1572575045510574	0.797	0.136	0	0	0.9709522247350068	0.767	0.118	0	0	0	BEC
Ifit1	0	0.9679516790778461	0.817	0.271	0	0	1.1966738973376356	0.832	0.216	0	0	1.1609722310781923	0.847	0.18	0	0	0	BEC
Ifi207	0	1.310635006772498	0.884	0.084	0	0	1.3498042345561718	0.868	0.066	0	0	1.2810183369556452	0.841	0.063	0	0	0	PvC
Ifi204	0	1.4882937710981992	0.953	0.157	0	0	1.5689310191446921	0.934	0.145	0	0	1.4795889449814563	0.921	0.126	0	0	0	PvC
Mndal	0	1.115949579397078	0.97	0.588	0	0	1.2283057472793892	0.978	0.561	0	0	1.1475904904746963	0.966	0.544	0	0	0	PvC
Ifi211	0	1.3669782814017308	0.948	0.247	0	0	1.4681148729277695	0.94	0.219	0	0	1.3211238446529237	0.911	0.218	0	0	0	PvC
Ifi203	0	1.126800740791713	0.977	0.595	0	0	1.2434140044591688	0.978	0.566	0	0	1.1563538448932218	0.971	0.557	0	0	0	PvC
Ifi205	0	1.431139382354712	0.888	0.016	0	0	1.4497298495062627	0.86	0.01	0	0	1.3456701385977154	0.824	0.011	0	0	0	PvC
Zbp1	0	1.3238635752111085	0.894	0.101	0	0	1.3554279563042022	0.863	0.07	0	0	1.2463762720019804	0.858	0.102	0	0	0	PvC
Gbp2	0	1.6898801925761728	0.971	0.229	0	0	1.7923071013659302	0.979	0.195	0	0	1.63060687728154	0.966	0.224	0	0	0	PvC
Clic4	0	0.6721881454156589	0.98	0.836	0	0	0.6827089159887911	0.981	0.865	0	0	0.6928267688893612	0.986	0.826	0	0	0	PvC
Isg15	0	1.5255908328925858	0.986	0.383	0	0	1.7020023270445759	0.984	0.337	0	0	1.557704694065734	0.979	0.356	0	0	0	PvC
Cxcl9	0	2.054709282621383	0.997	0.208	0	0	2.0724577328595233	1	0.228	0	0	1.9299800386432695	1	0.247	0	0	0	PvC
Cxcl10	0	1.3333426227850527	0.995	0.491	0	0	1.491917955292178	0.998	0.478	0	0	1.3085612269532352	0.996	0.49	0	0	0	PvC
